"sample","chemistry_description","software_version","features_identical_to_sample1","n_features","raw_spots_grid","n_ontissue","n_ontissue_postqc","pct_ontissue_retained_postqc","n_genes_all_zero_ontissue","n_MT_nonzero_ontissue","pct_MT_ontissue_total","mean_spot_pct_MT_ontissue","mean_spot_pct_MT_postqc","n_RPSL_rows","n_RPSL_nonzero_ontissue","total_counts_ontissue","nCount_min_postqc","nCount_q05_postqc","nCount_q10_postqc","nCount_q25_postqc","nCount_median_postqc","nCount_q75_postqc"
"sample1","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,11713,11709,99.97,18093,12,3.5689,3.8271,3.8273,103,0,212670692,682,6875,9568.6,13714,17381,21367
"sample2","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,9303,8684,93.35,18104,12,6.6401,11.7787,11.4985,103,0,33582744,500,642.15,775,1130,1784.5,4772.75
"sample3","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,8458,8318,98.34,18092,12,6.9763,11.5189,11.524,103,0,148325185,501,828.85,1102.7,1819.25,4530,27163
"sample4","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,5422,5389,99.39,18091,12,2.7821,6.5885,6.574,103,0,126296268,512,1118,1519,3018,9924,37101
"sample5","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,10195,10174,99.79,18113,12,3.8819,4.7108,4.7117,103,0,193312488,529,4577.55,6533.9,13167.75,19444.5,24541.75
"sample6","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14330,9062,9058,99.96,18111,12,4.4279,4.7149,4.7146,103,0,121787887,549,4779.85,6544.1,9618.25,13031.5,16769.75
"sample7","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,8745,8613,98.49,18111,12,2.6691,4.888,4.7471,103,0,118978587,500,964.8,1431.4,6474,14541,19516
"sample8","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14327,9589,9586,99.97,18104,12,4.5966,4.9941,4.9945,103,0,164805063,1033,6495.75,8213,11685.5,16280,21755.5
"sample9","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14335,10201,10197,99.96,18091,12,5.4614,5.859,5.8591,103,0,290453571,519,8648,13295.4,20047,27384,35560
"sample10","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,11314,11207,99.05,18106,12,4.6346,5.0307,4.9557,103,0,278885707,501,1437.6,4625.6,16119,26392,33948
"sample11","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14335,9285,9276,99.9,18095,12,3.4317,5.9781,5.9808,103,0,278298809,544,1953.75,2529.5,10828,29392.5,43381.25
"sample12","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14333,6515,6475,99.39,18109,12,5.6318,10.6194,10.5388,103,0,89862443,503,1081,1484.8,2897,9834,18105.5
"sample13","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14335,7182,7178,99.94,18093,12,3.3984,4.1913,4.1906,103,0,248156990,778,3448,7387.2,22441,35007,46185.75
"sample14","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14335,8732,8708,99.73,18103,12,3.2384,4.0933,4.0848,103,0,236671907,506,2691.8,4354.7,11624.75,24164.5,39266
"sample15","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,7424,7402,99.7,18104,12,4.5963,5.4876,5.4812,103,0,149607086,530,3780.15,5925.2,11371.25,19130.5,27335.75
"sample16","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,5764,5452,94.59,18124,12,10.3063,14.5749,14.7398,103,0,25813790,500,778,991,1495,2498,5044.5
"sample17","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,10651,10456,98.17,18095,12,2.4574,4.1253,4.0653,103,0,314000717,504,1668,2774.5,15565,30083.5,40887
"sample18","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,9868,9574,97.02,18111,12,3.1245,3.3982,3.4197,103,0,299773502,503,1901.25,4171.8,11737.25,28420,48327.75
"sample19","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,7997,7988,99.89,18089,12,6.2772,10.8081,10.8037,103,0,133430915,602,2329.4,2924.1,4673.5,9185.5,17924.25
"sample20","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,5613,5119,91.2,18116,12,9.4765,16.8237,16.8359,103,0,36637315,500,623,795.8,1395,2995,7162.5
"sample21","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,7453,6863,92.08,18108,12,2.5507,9.3542,8.3409,103,0,124415867,500,658.1,811.2,1639,10612,31460
"sample22","Visium V5 Slide","spaceranger-2.0.1",TRUE,37082,14336,7632,7570,99.19,18094,12,6.8926,8.7384,8.7278,103,0,208596346,501,2165.45,3851.5,10057.25,30332,41055.25
