"gene_id","gene_name","samples_detected","total_counts","is_deprecated_probe","is_universe"
"ENSG00000243485","MIR1302-2HG",0,0,FALSE,FALSE
"ENSG00000237613","FAM138A",0,0,FALSE,FALSE
"ENSG00000186092","OR4F5",22,8998,FALSE,TRUE
"ENSG00000238009","AL627309.1",0,0,FALSE,FALSE
"ENSG00000239945","AL627309.3",0,0,FALSE,FALSE
"ENSG00000239906","AL627309.2",0,0,FALSE,FALSE
"ENSG00000241860","AL627309.5",0,0,FALSE,FALSE
"ENSG00000241599","AL627309.4",0,0,FALSE,FALSE
"ENSG00000286448","AP006222.2",0,0,FALSE,FALSE
"ENSG00000236601","AL732372.1",0,0,FALSE,FALSE
"ENSG00000284733","OR4F29",0,0,FALSE,FALSE
"ENSG00000235146","AC114498.1",0,0,FALSE,FALSE
"ENSG00000284662","OR4F16",0,0,FALSE,FALSE
"ENSG00000229905","AL669831.2",0,0,FALSE,FALSE
"ENSG00000237491","LINC01409",0,0,FALSE,FALSE
"ENSG00000177757","FAM87B",0,0,FALSE,FALSE
"ENSG00000228794","LINC01128",0,0,FALSE,FALSE
"ENSG00000225880","LINC00115",0,0,FALSE,FALSE
"ENSG00000230368","FAM41C",0,0,FALSE,FALSE
"ENSG00000272438","AL645608.6",0,0,FALSE,FALSE
"ENSG00000230699","AL645608.2",0,0,FALSE,FALSE
"ENSG00000241180","AL645608.4",0,0,FALSE,FALSE
"ENSG00000223764","LINC02593",0,0,FALSE,FALSE
"ENSG00000187634","SAMD11",22,226601,FALSE,TRUE
"ENSG00000188976","NOC2L",22,94684,FALSE,TRUE
"ENSG00000187961","KLHL17",22,25233,FALSE,TRUE
"ENSG00000187583","PLEKHN1",22,5534,FALSE,TRUE
"ENSG00000187642","PERM1",22,6199,FALSE,TRUE
"ENSG00000272512","AL645608.7",0,0,FALSE,FALSE
"ENSG00000188290","HES4",22,436220,FALSE,TRUE
"ENSG00000187608","ISG15",22,253132,FALSE,TRUE
"ENSG00000224969","AL645608.1",0,0,FALSE,FALSE
"ENSG00000188157","AGRN",22,943308,FALSE,TRUE
"ENSG00000242590","AL645608.5",0,0,FALSE,FALSE
"ENSG00000273443","AL645608.8",0,0,FALSE,FALSE
"ENSG00000237330","RNF223",22,7726,FALSE,TRUE
"ENSG00000131591","C1orf159",22,23090,FALSE,TRUE
"ENSG00000285812","AL390719.3",0,0,FALSE,FALSE
"ENSG00000223823","LINC01342",0,0,FALSE,FALSE
"ENSG00000272141","AL390719.2",0,0,FALSE,FALSE
"ENSG00000205231","TTLL10-AS1",0,0,FALSE,FALSE
"ENSG00000162571","TTLL10",22,2415,FALSE,TRUE
"ENSG00000186891","TNFRSF18",22,11083,FALSE,TRUE
"ENSG00000186827","TNFRSF4",22,5174,FALSE,TRUE
"ENSG00000078808","SDF4",22,869741,FALSE,TRUE
"ENSG00000176022","B3GALT6",22,71669,FALSE,TRUE
"ENSG00000184163","C1QTNF12",22,32250,FALSE,TRUE
"ENSG00000260179","AL162741.1",0,0,FALSE,FALSE
"ENSG00000160087","UBE2J2",22,116036,FALSE,TRUE
"ENSG00000230415","LINC01786",0,0,FALSE,FALSE
"ENSG00000162572","SCNN1D",22,32663,FALSE,TRUE
"ENSG00000131584","ACAP3",22,310318,FALSE,TRUE
"ENSG00000169972","PUSL1",22,45916,FALSE,TRUE
"ENSG00000127054","INTS11",22,367201,FALSE,TRUE
"ENSG00000240731","AL139287.1",0,0,FALSE,FALSE
"ENSG00000224051","CPTP",22,100606,FALSE,TRUE
"ENSG00000169962","TAS1R3",22,7685,FALSE,TRUE
"ENSG00000107404","DVL1",22,250340,FALSE,TRUE
"ENSG00000162576","MXRA8",22,1148952,FALSE,TRUE
"ENSG00000175756","AURKAIP1",22,511424,FALSE,TRUE
"ENSG00000221978","CCNL2",22,1416587,FALSE,TRUE
"ENSG00000224870","MRPL20-AS1",0,0,FALSE,FALSE
"ENSG00000242485","MRPL20",0,0,FALSE,FALSE
"ENSG00000272455","AL391244.2",0,0,FALSE,FALSE
"ENSG00000235098","ANKRD65",22,20403,FALSE,TRUE
"ENSG00000225905","AL391244.1",0,0,FALSE,FALSE
"ENSG00000205116","TMEM88B",22,9122,FALSE,TRUE
"ENSG00000225285","LINC01770",0,0,FALSE,FALSE
"ENSG00000179403","VWA1",22,132385,FALSE,TRUE
