"Sample","Subset","X_Variable","Y_Variable","X_Column","Y_Column","N","Pearson_r","Pearson_p","Pearson_log10_p","Pearson_CI_low","Pearson_CI_high","Spearman_rho","Spearman_p","Spearman_log10_p","Spearman_CI_low","Spearman_CI_high"
"sample1","all_spots","Stemness Score","Percent_MT","Stemness_Score1","percent.mt",11666,0.0950473696498566,7.96567877582375e-25,-24.0987772109445,0.0770336358524596,0.112999070745846,0.0818789494685627,8.17466906748222e-19,-18.0875298197167,0.0632928255000823,0.100408296418299
"sample1","all_spots","Stemness Score","nCounts","Stemness_Score1","nCount_Spatial",11666,-0.107720405366577,1.86796910098131e-31,-30.7286303119305,-0.125621446078431,-0.0897492431378202,-0.157172212210522,2.07365079200913e-65,-64.6832643780687,-0.175340281547623,-0.138897129749129
"sample1","all_spots","Stemness Score","nFeatures","Stemness_Score1","nFeature_Spatial",11666,-0.109297730677804,2.44238888699924e-32,-31.6121851847681,-0.127192060586514,-0.0913322771113697,-0.120279466582851,7.51101801805809e-39,-38.1243011961967,-0.138650839453529,-0.101825340381504
"sample1","all_spots","Shannon Entropy (Rarefied)","Percent_MT","entropy_rarefied","percent.mt",11666,0.376100506025286,0,-387.99077931404,0.360413709599063,0.391574630859476,0.311649068608715,3.93027794892057e-261,-260.40557673527,0.294681915179613,0.328419782543492
"sample1","all_spots","Shannon Entropy (Rarefied)","nCounts","entropy_rarefied","nCount_Spatial",11666,-0.211435168004455,5.06891568292625e-118,-117.295084932833,-0.22870426910076,-0.194033039310867,-0.251804968633166,3.5907810849374e-168,-167.444811071204,-0.269221373383462,-0.234223919814466
"sample1","all_spots","Shannon Entropy (Rarefied)","nFeatures","entropy_rarefied","nFeature_Spatial",11666,-0.148774090738943,1.00970885183476e-58,-57.9958038363855,-0.166471261337561,-0.130981105806866,-0.132982476566179,3.55547258379074e-47,-46.4491026658508,-0.151289542569464,-0.114584216018807
"sample1","all_spots","Shannon Entropy (Raw Plug-in)","Percent_MT","entropy_raw_plugin","percent.mt",11666,-0.319035885516311,3.02957317605387e-274,-273.518618553129,-0.335241632386689,-0.302641402328885,-0.100113167099591,2.24351933033119e-27,-26.6490701842009,-0.118574330155719,-0.0815828147858143
"sample1","all_spots","Shannon Entropy (Raw Plug-in)","nCounts","entropy_raw_plugin","nCount_Spatial",11666,0.69049405865898,0,-1642.61354317253,0.68087895309307,0.699871189231766,0.731077184075759,0,-1938.54559958181,0.722259344345208,0.739657389557465
"sample1","all_spots","Shannon Entropy (Raw Plug-in)","nFeatures","entropy_raw_plugin","nFeature_Spatial",11666,0.872176889662275,0,-3623.99919481261,0.867764436481402,0.876451846804855,0.818669026880547,0,-2811.75255447362,0.812412044486575,0.824737489754646
"sample1","all_spots","Shannon Entropy (Rarefied)","Stemness Score","entropy_rarefied","Stemness_Score1",11666,0.174690622349141,1.34271858475021e-80,-79.8720149999126,0.157041851059354,0.192227852574511,0.210520993192006,5.36182798878453e-117,-116.270687122602,0.192595555301134,0.228305976559186
"sample1","all_spots","Shannon Entropy (Raw Plug-in)","Stemness Score","entropy_raw_plugin","Stemness_Score1",11666,-0.0359152579240267,0.000104449416199923,-3.98109398308301,-0.0540266469890508,-0.0177802456354305,0.00874964873923849,0.344679350524493,-0.462584734062002,-0.00993492084682881,0.027428110620038
