"Sample","X_Variable","Y_Variable","Covariate_Set","Covariates","Method","N","K_Covariates","DF","Zero_Order_Estimate","Partial_Estimate","Partial_p","Partial_log10_p","Partial_CI_low","Partial_CI_high","Pct_Attenuation"
"sample1","Shannon Entropy (Raw Plug-in)","Stemness Score","percent_mt","percent.mt","pearson",11709,1,11706,-0.0123123788993472,0.0212650116886933,0.0213936979587768,-1.66971413995946,0.00315220454963011,0.0393638702796737,NA
"sample1","Shannon Entropy (Raw Plug-in)","Stemness Score","percent_mt","percent.mt","spearman",11709,1,11706,0.0219645584326729,0.0314074422079801,0.000676645895884555,-3.1696385480003,0.0127655153254526,0.0500275435997334,-42.99
"sample1","Shannon Entropy (Raw Plug-in)","Stemness Score","log_nCount","log_nCount_Spatial","pearson",11709,1,11706,-0.0123123788993472,0.182582736874443,2.64097815330983e-88,-87.5782351913475,0.165014469129255,0.200035180355435,NA
"sample1","Shannon Entropy (Raw Plug-in)","Stemness Score","log_nCount","log_nCount_Spatial","spearman",11709,1,11706,0.0219645584326729,0.201633889874354,1.14194505663091e-107,-106.942354791166,0.18367516911267,0.219458054396157,-818
"sample1","Shannon Entropy (Raw Plug-in)","Stemness Score","percent_mt_and_log_nCount","percent.mt + log_nCount_Spatial","pearson",11709,2,11705,-0.0123123788993472,0.182804404059723,1.64304309787548e-88,-87.7843510446453,0.165236784769258,0.200256058275963,NA
"sample1","Shannon Entropy (Raw Plug-in)","Stemness Score","percent_mt_and_log_nCount","percent.mt + log_nCount_Spatial","spearman",11709,2,11705,0.0219645584326729,0.197544415336649,2.49379056181453e-103,-102.603140023058,0.179555741776662,0.215401026159956,-799.38
"sample1","Shannon Entropy (SpaNorm Plug-in)","Stemness Score","percent_mt","percent.mt","pearson",11709,1,11706,-0.100224606697154,-0.0886204514841739,7.47472112591857e-22,-21.1264050057773,-0.106563409498817,-0.0706197941632812,11.58
"sample1","Shannon Entropy (SpaNorm Plug-in)","Stemness Score","percent_mt","percent.mt","spearman",11709,1,11706,-0.106260336865439,-0.0909080851799355,6.46116245447814e-23,-22.1896893392575,-0.109372061826497,-0.0723813952374972,14.45
"sample1","Shannon Entropy (SpaNorm Plug-in)","Stemness Score","log_nCount","log_nCount_Spatial","pearson",11709,1,11706,-0.100224606697154,-0.0177035799075761,0.055424297531158,-1.25629980259372,-0.0358061188451939,0.000410573108353136,82.34
"sample1","Shannon Entropy (SpaNorm Plug-in)","Stemness Score","log_nCount","log_nCount_Spatial","spearman",11709,1,11706,-0.106260336865439,0.0654492544103479,1.35393382742224e-12,-11.8684025609741,0.0468570436011027,0.0839961336329596,NA
"sample1","Shannon Entropy (SpaNorm Plug-in)","Stemness Score","percent_mt_and_log_nCount","percent.mt + log_nCount_Spatial","pearson",11709,2,11705,-0.100224606697154,-0.0270266753060462,0.00345034243864969,-2.46213780004682,-0.0451193806438213,-0.00891624554025986,73.03
"sample1","Shannon Entropy (SpaNorm Plug-in)","Stemness Score","percent_mt_and_log_nCount","percent.mt + log_nCount_Spatial","spearman",11709,2,11705,-0.106260336865439,0.0620246619609152,1.85822009748239e-11,-10.7309028471449,0.0434246939098472,0.0805816478737694,NA
