"Sample","Subset","Spots_In_Subset","Pct_Spots_In_Subset","MT_Min","MT_Median","MT_Max","X_Variable","Y_Variable","X_Column","Y_Column","N","Pearson_r","Pearson_p","Pearson_log10_p","Pearson_CI_low","Pearson_CI_high","Spearman_rho","Spearman_p","Spearman_log10_p","Spearman_CI_low","Spearman_CI_high"
"sample1","all_spots",11709,100,1.616,3.374,33.591,"Shannon Entropy (Raw Plug-in)","Stemness Score","entropy_raw_plugin","Stemness_Score1",11709,-0.0123123788993472,0.182791919076388,-0.738043007607149,-0.0304188427732408,0.00580216288072153,0.0219645584326729,0.0174646514997088,-1.75784007611643,0.00331730960871588,0.0405965373706077
"sample1","all_spots",11709,100,1.616,3.374,33.591,"Shannon Entropy (Raw Plug-in)","Percent_MT","entropy_raw_plugin","percent.mt",11709,-0.370117893157389,0,-376.224129531696,-0.385645757484756,-0.35438042487988,-0.108286839905144,6.99267136365488e-32,-31.1553568819277,-0.126679630834116,-0.0898196139026554
"sample1","all_spots",11709,100,1.616,3.374,33.591,"Shannon Entropy (SpaNorm Plug-in)","Stemness Score","entropy_spanorm_plugin","Stemness_Score1",11709,-0.100224606697154,1.57863450162318e-27,-26.8017184097653,-0.118123414060123,-0.0822606943990522,-0.106260336865439,9.35131078123952e-31,-30.0291275094313,-0.12466191352602,-0.0877856860021689
"sample1","all_spots",11709,100,1.616,3.374,33.591,"Shannon Entropy (SpaNorm Plug-in)","Percent_MT","entropy_spanorm_plugin","percent.mt",11709,-0.149570705009098,1.4934101451629e-59,-58.8258209027109,-0.16723088900253,-0.131814570728005,-0.209370070688586,3.91547266336517e-116,-115.407215803798,-0.227131851016268,-0.191469046356062
"sample1","all_spots",11709,100,1.616,3.374,33.591,"Stemness Score","Percent_MT","Stemness_Score1","percent.mt",11709,0.0864408588751491,7.24314079880999e-21,-20.140073072503,0.0684347610725491,0.104390659639371,0.0844665702906607,5.41777441682213e-20,-19.2661790819106,0.0659218016310537,0.102953007989233
"sample1","percent_mt_lt_10",11465,97.92,1.616,3.355,9.996,"Shannon Entropy (Raw Plug-in)","Stemness Score","entropy_raw_plugin","Stemness_Score1",11465,-0.00799951644460007,0.391739819487148,-0.407002281133794,-0.0263006501236173,0.0103069777269889,0.0254964341814626,0.00633016366760339,-2.19858506106983,0.00665362215368661,0.0443211467364867
"sample1","percent_mt_lt_10",11465,97.92,1.616,3.355,9.996,"Shannon Entropy (Raw Plug-in)","Percent_MT","entropy_raw_plugin","percent.mt",11465,-0.218104812474492,1.64188126621242e-123,-122.784658252389,-0.235469706878725,-0.200600706889857,-0.0823201942145622,1.06146838349065e-18,-17.9740929370421,-0.10100949649465,-0.0635728123957641
"sample1","percent_mt_lt_10",11465,97.92,1.616,3.355,9.996,"Shannon Entropy (SpaNorm Plug-in)","Stemness Score","entropy_spanorm_plugin","Stemness_Score1",11465,-0.101054387930312,2.06150755512944e-27,-26.6858150692327,-0.119138989651139,-0.08290275645989,-0.105403696269501,1.08879742766619e-29,-28.9630529138441,-0.124003380249394,-0.0867299709348422
"sample1","percent_mt_lt_10",11465,97.92,1.616,3.355,9.996,"Shannon Entropy (SpaNorm Plug-in)","Percent_MT","entropy_spanorm_plugin","percent.mt",11465,-0.226210664524118,5.87637729385961e-133,-132.230890328031,-0.243507338435538,-0.208770151466352,-0.200984308263825,8.55458209206634e-105,-104.067801201733,-0.219000796667682,-0.182830816942975
"sample1","percent_mt_lt_10",11465,97.92,1.616,3.355,9.996,"Stemness Score","Percent_MT","Stemness_Score1","percent.mt",11465,0.107300067533505,1.03226329195537e-30,-29.9862095162172,0.0891702241894536,0.125358831888035,0.0741255082699971,1.91023506836699e-15,-14.718913186358,0.0553568309691292,0.0928418201652876
